study_id,citation_short,on_website,file
abc1e750e82809237_s1,Allen et al. (2023),YES,Allen_et_al_2023__abc1e750e82809237_s1.md
ae193b47767bcea7b_s1,Allen et al. (2023),YES,Allen_et_al_2023__ae193b47767bcea7b_s1.md
ae20b03d9449119c0_s1,Allen et al. (2024),YES,Allen_et_al_2024__ae20b03d9449119c0_s1.md
a1cf8e25627c14bde_s1,Allidina & Cunningham (2021),YES,Allidina_Cunningham_2021__a1cf8e25627c14bde_s1.md
a44cda9eb501547e6_s1,Allidina (2018),YES,Allidina_2018__a44cda9eb501547e6_s1.md
a76db468de82a4657_s1,Allidina (2023),YES,Allidina_2023__a76db468de82a4657_s1.md
a549906e29a2f9bf5_s1,Allidina et al. (2025),YES,Allidina_et_al_2025__a549906e29a2f9bf5_s1.md
a549906e29a2f9bf5_s2,Allidina et al. (2025),YES,Allidina_et_al_2025__a549906e29a2f9bf5_s2.md
a549906e29a2f9bf5_s3,Allidina et al. (2025),YES,Allidina_et_al_2025__a549906e29a2f9bf5_s3.md
ae55e9533511109cd_s1,Anlló et al. (2024),YES,Anll_et_al_2024__ae55e9533511109cd_s1.md
ae55e9533511109cd_s2,Anlló et al. (2024),YES,Anll_et_al_2024__ae55e9533511109cd_s2.md
ad1a6e903ea4d2f38_s1,Apps et al. (2015),YES,Apps_et_al_2015__ad1a6e903ea4d2f38_s1.md
a80c37dd74c4998a4_s1,Aquino (2022),NO,Aquino_2022__a80c37dd74c4998a4_s1.md
ad1a881a7ce1349fe_s1,Aquino et al. (2020),YES,Aquino_et_al_2020__ad1a881a7ce1349fe_s1.md
ac490d4a134a2a23a_s1,Arbel et al. (2024),YES,Arbel_et_al_2024__ac490d4a134a2a23a_s1.md
a1d48d8ad0e3d0d03_s1,Arslan et al. (2017),YES,Arslan_et_al_2017__a1d48d8ad0e3d0d03_s1.md
a5b2c0aa182d22e77_s1,Atlas et al. (2016),YES,Atlas_et_al_2016__a5b2c0aa182d22e77_s1.md
ae90896dda8a10f7a_s1,Avdic et al. (2023),YES,Avdic_et_al_2023__ae90896dda8a10f7a_s1.md
a2cdcaf4b59eacb91_s1,Babur et al. (2024),YES,Babur_et_al_2024__a2cdcaf4b59eacb91_s1.md
a72ee534eb86c7c7b_s1,Bai et al. (2022),YES,Bai_et_al_2022__a72ee534eb86c7c7b_s1.md
a95eb220fdbe63dcd_s1,Bang et al. (2017),YES,Bang_et_al_2017__a95eb220fdbe63dcd_s1.md
ad7b44d47520e9e12_s1,Bang et al. (2022),YES,Bang_et_al_2022__ad7b44d47520e9e12_s1.md
a525b90f489739776_s1,Barnby (2021),NO,Barnby_2021__a525b90f489739776_s1.md
a2b27883579d6f342_s1,Barnby et al. (2020),YES,Barnby_et_al_2020__a2b27883579d6f342_s1.md
afd606b4dc8edcad1_s1,Barnby et al. (2022),YES,Barnby_et_al_2022__afd606b4dc8edcad1_s1.md
a22a39917d0dd8ed8_s1,Barnby et al. (2024),YES,Barnby_et_al_2024__a22a39917d0dd8ed8_s1.md
a6e0cdae5974d3b41_s1,Barnby et al. (2025),YES,Barnby_et_al_2025__a6e0cdae5974d3b41_s1.md
affdf48c264a99879_s1,Bass (2021),YES,Bass_2021__affdf48c264a99879_s1.md
affdf48c264a99879_s2,Bass (2021),YES,Bass_2021__affdf48c264a99879_s2.md
affdf48c264a99879_s3,Bass (2021),YES,Bass_2021__affdf48c264a99879_s3.md
a204653ce20c31792_s1,Becker et al. (2017),YES,Becker_et_al_2017__a204653ce20c31792_s1.md
a0cdccddf2144a383_s1,Becker et al. (2019),YES,Becker_et_al_2019__a0cdccddf2144a383_s1.md
ab722870328c9d745_s1,Behrens et al. (2008),YES,Behrens_et_al_2008__ab722870328c9d745_s1.md
a1d61851931124089_s1,Bellebaum et al. (2012),YES,Bellebaum_et_al_2012__a1d61851931124089_s1.md
aec707b4aaa70bb2e_s1,Bellebaum et al. (2012),YES,Bellebaum_et_al_2012__aec707b4aaa70bb2e_s1.md
a9314fd573def5ba4_s1,Bellucci & Park (2020),YES,Bellucci_Park_2020__a9314fd573def5ba4_s1.md
a0c8ea17d52248403_s1,Bellucci & Park (2023),YES,Bellucci_Park_2023__a0c8ea17d52248403_s1.md
a8286f527041f9a9a_s1,Beltzer et al. (2023),YES,Beltzer_et_al_2023__a8286f527041f9a9a_s1.md
a6775e847c8afacd3_s1,Benistant et al.,YES,Benistant_et_al__a6775e847c8afacd3_s1.md
a3e50173a79c7cd03_s1,Benistant et al. (2024),YES,Benistant_et_al_2024__a3e50173a79c7cd03_s1.md
aec5330e361394fc7_s1,Biele et al. (2011),YES,Biele_et_al_2011__aec5330e361394fc7_s1.md
a6e960f86a4bc326f_s1,Blanchard et al. (2020),YES,Blanchard_et_al_2020__a6e960f86a4bc326f_s1.md
aa7d5ff60fbdb2268_s1,Bos et al. (2013),YES,Bos_et_al_2013__aa7d5ff60fbdb2268_s1.md
a00410a50b2a7157b_s1,Bradley et al. (2020),YES,Bradley_et_al_2020__a00410a50b2a7157b_s1.md
abbaa5732e78c069d_s1,Bray & Doherty (2007),YES,Bray_Doherty_2007__abbaa5732e78c069d_s1.md
a89fcd76a5ec248ed_s1,Brazil (2013),YES,Brazil_2013__a89fcd76a5ec248ed_s1.md
afb81d7b37c8d463a_s1,Buades-Rotger et al. (2023),YES,Buades_Rotger_et_al_2023__afb81d7b37c8d463a_s1.md
afd0df0cd14192101_s1,Buehler et al. (2025),YES,Buehler_et_al_2025__afd0df0cd14192101_s1.md
a5410643e38a591ad_s1,Buritica (2016),YES,Buritica_2016__a5410643e38a591ad_s1.md
a0a3915bf66efa3e5_s1,Buritica et al. (2019),YES,Buritica_et_al_2019__a0a3915bf66efa3e5_s1.md
a6404fb3831ef9006_s1,Buritica et al. (2024),YES,Buritica_et_al_2024__a6404fb3831ef9006_s1.md
aa792de35f80feb74_s1,Burke et al. (2016),YES,Burke_et_al_2016__aa792de35f80feb74_s1.md
a286a3f21983708d7_s1,Burnside et al. (2019),YES,Burnside_et_al_2019__a286a3f21983708d7_s1.md
ab9129a02398500c2_s1,Camerer & Ho (1999),YES,Camerer_Ho_1999__ab9129a02398500c2_s1.md
a6282feec6a507024_s1,Campbell-Meiklejohn et al. (2010),YES,Campbell_Meiklejohn_et_al_2010__a6282feec6a507024_s1.md
aa9ddd5acc0c507a5_s1,Carrignon et al. (2020),YES,Carrignon_et_al_2020__aa9ddd5acc0c507a5_s1.md
a0478e24d2be31cbd_s1,Carvalheiro et al. (2021),YES,Carvalheiro_et_al_2021__a0478e24d2be31cbd_s1.md
aa81b9b0bc29c1c9b_s1,Castanon et al. (2023),YES,Castanon_et_al_2023__aa81b9b0bc29c1c9b_s1.md
ac739eb9ee61d9c5a_s1,Cavanagh et al. (2011),YES,Cavanagh_et_al_2011__ac739eb9ee61d9c5a_s1.md
a8a8de79a9824ebef_s1,Chackochan & Sanguineti (2019),YES,Chackochan_Sanguineti_2019__a8a8de79a9824ebef_s1.md
a6e4643b5be9b53d0_s1,Chang et al. (2010),YES,Chang_et_al_2010__a6e4643b5be9b53d0_s1.md
a5dd8a3151396baf3_s1,Charpentier et al. (2019),YES,Charpentier_et_al_2019__a5dd8a3151396baf3_s1.md
a0f2e0862f7be225c_s1,Charpentier et al. (2020),YES,Charpentier_et_al_2020__a0f2e0862f7be225c_s1.md
afd5b711e4d35db97_s1,Charpentier et al. (2024),YES,Charpentier_et_al_2024__afd5b711e4d35db97_s1.md
a9848c84183aa4aea_s1,Chen & Krajbich (2017),YES,Chen_Krajbich_2017__a9848c84183aa4aea_s1.md
a72733d5dd128ea96_s1,Chen et al. (2024),YES,Chen_et_al_2024__a72733d5dd128ea96_s1.md
aecdcd0c0e912c532_s1,Cheung et al. (2021),YES,Cheung_et_al_2021__aecdcd0c0e912c532_s1.md
ad0eac35025a13070_s1,Chien et al. (2016),YES,Chien_et_al_2016__ad0eac35025a13070_s1.md
a8298436254387388_s1,Christopoulos & King-Casas (2015),YES,Christopoulos_King_Casas_2015__a8298436254387388_s1.md
afb6b3e3661811f86_s1,Chung et al. (2018),YES,Chung_et_al_2018__afb6b3e3661811f86_s1.md
a057516ab87b79a81_s1,Ciranka & Bos (2024),YES,Ciranka_Bos_2024__a057516ab87b79a81_s1.md
a0250aede7dd564c5_s1,Ciranka (2021),YES,Ciranka_2021__a0250aede7dd564c5_s1.md
a0250aede7dd564c5_s2,Ciranka (2021),YES,Ciranka_2021__a0250aede7dd564c5_s2.md
a867322e7b21f303d_s1,Cisler et al. (2015),YES,Cisler_et_al_2015__a867322e7b21f303d_s1.md
a20e877f71fab27e9_s1,Cisler et al. (2019),YES,Cisler_et_al_2019__a20e877f71fab27e9_s1.md
ac46ee22ccf716c5f_s1,Collette et al. (2017),YES,Collette_et_al_2017__ac46ee22ccf716c5f_s1.md
aed0e37022d326c92_s1,Collins & Juvina (2021),YES,Collins_Juvina_2021__aed0e37022d326c92_s1.md
a21d0e1221204e6a7_s1,Collins et al. (2016),YES,Collins_et_al_2016__a21d0e1221204e6a7_s1.md
