study_id,paper_id,citation_short,year,on_website,eligibility_flagged,eligibility_flag_reason,human_decision,human_rationale,reviewer,date_checked,status
a00410a50b2a7157b_s1,a00410a50b2a7157b,Bradley et al. (2020),2020,YES,NO,,,,,,pending
a00e7bc280f881edb_s1,a00e7bc280f881edb,Zhang et al. (2025),2025,YES,NO,,,,,,pending
a00e7bc280f881edb_s2,a00e7bc280f881edb,Zhang et al. (2025),2025,YES,NO,,,,,,pending
a019a3130cd2a8cbe_s1,a019a3130cd2a8cbe,Gregorova et al. (2024),2024,YES,NO,,,,,,pending
a0241e9efa127ca2c_s1,a0241e9efa127ca2c,Peng et al. (2024),2024,YES,NO,,,,,,pending
a0250aede7dd564c5_s1,a0250aede7dd564c5,Ciranka (2021),2021,YES,YES,"Borderline: learning-vs-decision-making. Models are expected utility models for single decisions, not learning models. No trial-by-trial updating or learning over time. Social information influences single choices rather than being integrated into a learning process. Also, this is a reanalysis of previously published data.",,,,,pending
a0250aede7dd564c5_s2,a0250aede7dd564c5,Ciranka (2021),2021,YES,YES,"Borderline: learning-vs-decision-making. The Bayesian updating model treats social influence as belief updating (a form of learning), but there is no trial-by-trial learning across the experiment -- each trial is an independent decision with social information incorporated via Bayesian updating within that trial. The ""learning"" is about how social information changes beliefs within a single decision, not about learning from outcomes over time.",,,,,pending
a026a5057e5c402fa_s1,a026a5057e5c402fa,Devaine & Daunizeau (2017),2017,YES,YES,"The ""social agent"" is an automated/artificial system (calibrated artificial agents impersonating humans). Flag: artificial_social_agent. Paper remains eligible -- participants believed agent was human.",,,,,pending
a0285b6780492e31c_s1,a0285b6780492e31c,Spiers et al. (2017),2017,YES,NO,,,,,,pending
a02c7c89a2ee718ad_s1,a02c7c89a2ee718ad,Harada (2023),2023,YES,YES,"FLAGGED — Borderline eligibility. The computational model (Q-learning) is fit to a bandit task, and parameters are then correlated with creativity scores from a separate task (AUT). The learning in the bandit task is non-social for individuals; for dyads/triads, the ""social"" element is collective decision-making on bandit choices, but the paper does not model social learning processes (e.g., learning about or from others). The study focus is creativity/divergent thinking, not social learning per se. The computational model does not incorporate any social learning mechanism. This is better characterized as a study of individual reinforcement learning parameters applied to group decision-making, with creativity as the outcome variable.",,,,,pending
a045db0b5ed502025_s1,a045db0b5ed502025,Suthaharan & Corlett (2023),2023,YES,YES,"The paper uses computational modeling (HGF) and human behavioral data, and learning occurs over time in the reversal learning task. However, the social component is primarily correlational (social network survey data correlated with model parameters). The learning task itself is NOT inherently social — the authors explicitly show no difference between social and non-social framings. The computational model is fit to a non-social probabilistic learning task; the ""social"" element is in the correlational analyses linking model parameters to conspiracy beliefs and social network features. FLAG: Borderline — computational learning occurs in a non-social task; social context is in correlational/survey analyses only, not in the learning process itself.",,,,,pending
a0478e24d2be31cbd_s1,a0478e24d2be31cbd,Carvalheiro et al. (2021),2021,YES,YES,"The task is non-social. Learning does not occur in a social context. The stressor is an auditory alarm, not a social stressor. Flag: ""Non-social learning task; no social context for learning. Stress manipulation is non-social (auditory alarm). Does not meet inclusion criterion for social context.",,,,,pending
a04b0629986060d45_s1,a04b0629986060d45,Son et al. (2021),2021,YES,YES,"Study 1 does not include computational modeling (only representational similarity analysis with linear regression). The computational modeling occurs in Studies 2 and 3. Flag: ""Study 1 lacks formal computational model; RSA only.",,,,,pending
a04b0629986060d45_s2,a04b0629986060d45,Son et al. (2021),2021,YES,NO,,,,,,pending
a04b0629986060d45_s3,a04b0629986060d45,Son et al. (2021),2021,YES,YES,"Studies 2 and 3: null (fully eligible). Study 1: ""No computational model fitted; RSA/linear regression analysis only. Part of a multi-study paper where Studies 2-3 include computational modeling.",,,,,pending
a057516ab87b79a81_s1,a057516ab87b79a81,Ciranka & Bos (2024),2024,YES,NO,,,,,,pending
a058c75e2ab740b1d_s1,a058c75e2ab740b1d,Kleberg et al. (2023),2023,YES,NO,,,,,,pending
a064d64d158284c23_s1,a064d64d158284c23,Martins et al. (2022),2022,YES,NO,,,,,,pending
a066703107fbc2fe0_s1,a066703107fbc2fe0,McElreath et al. (2005),2005,YES,NO,,,,,,pending
a089a484bca4fd63e_s1,a089a484bca4fd63e,Zonca et al. (2021),2021,YES,YES,"Possible flag — the Cognitive Hierarchy model is used descriptively to characterize strategic levels rather than as a computational model of learning per se. The logistic regression models test for learning effects but are statistical models, not process models of learning. No formal computational model of the learning mechanism (e.g., reinforcement learning, Bayesian updating) is fitted. The paper describes observational learning but does not implement a computational model of the learning process itself. FLAG: borderline — uses computational models to characterize strategic sophistication and measure learning effects, but does not model the learning mechanism computationally. `eligibility_flag: ""Borderline — CH model characterizes strategic levels descriptively; logistic regressions test learning effects statistically; no computational process model of the learning mechanism itself (e.g., no RL model, no Bayesian updating model fitted to trial-by-trial learning)""`",,,,,pending
a092feb2d1b67b42c_s1,a092feb2d1b67b42c,Wu et al. (2025),2025,YES,NO,,,,,,pending
