study_id,paper_id,citation_short,year,on_website,study_focus_short,row_checked,fields_with_errors,corrections,reviewer_note,reviewer,date_checked,status
a00410a50b2a7157b_s1,a00410a50b2a7157b,Bradley et al. (2020),2020,YES,Social reward learning in competitive bidding,,,,,,,pending
a00e7bc280f881edb_s1,a00e7bc280f881edb,Zhang et al. (2025),2025,YES,Observational learning of fairness norms / inequality aversion contagion,,,,,,,pending
a00e7bc280f881edb_s2,a00e7bc280f881edb,Zhang et al. (2025),2025,YES,Generalization of learned inequality aversion,,,,,,,pending
a019a3130cd2a8cbe_s1,a019a3130cd2a8cbe,Gregorova et al. (2024),2024,YES,Social feedback learning and self-esteem updating in Borderline Personality,,,,,,,pending
a0241e9efa127ca2c_s1,a0241e9efa127ca2c,Peng et al. (2024),2024,YES,social feedback on reward learning; social learning strategies,,,,,,,pending
a0250aede7dd564c5_s1,a0250aede7dd564c5,Ciranka (2021),2021,YES,Social influence on adolescent risk-taking,,,,,,,pending
a0250aede7dd564c5_s2,a0250aede7dd564c5,Ciranka (2021),2021,YES,Social influence under uncertainty,,,,,,,pending
a026a5057e5c402fa_s1,a026a5057e5c402fa,Devaine & Daunizeau (2017),2017,YES,Attitude alignment,,,,,,,pending
a0285b6780492e31c_s1,a0285b6780492e31c,Spiers et al. (2017),2017,YES,Prejudice learning / illusory correlation learning,,,,,,,pending
a02c7c89a2ee718ad_s1,a02c7c89a2ee718ad,Harada (2023),2023,YES,Creativity/divergent thinking,,,,,,,pending
a045db0b5ed502025_s1,a045db0b5ed502025,Suthaharan & Corlett (2023),2023,YES,"Belief updating under uncertainty, conspiracy belief endorsement, social",,,,,,,pending
a0478e24d2be31cbd_s1,a0478e24d2be31cbd,Carvalheiro et al. (2021),2021,YES,Reward and punishment learning under acute stress,,,,,,,pending
a04b0629986060d45_s1,a04b0629986060d45,Son et al. (2021),2021,YES,Social network learning,,,,,,,pending
a04b0629986060d45_s2,a04b0629986060d45,Son et al. (2021),2021,YES,Social network learning,,,,,,,pending
a04b0629986060d45_s3,a04b0629986060d45,Son et al. (2021),2021,YES,Social network learning,,,,,,,pending
a057516ab87b79a81_s1,a057516ab87b79a81,Ciranka & Bos (2024),2024,YES,Social influence learning / learning from advice under uncertainty across,,,,,,,pending
a058c75e2ab740b1d_s1,a058c75e2ab740b1d,Kleberg et al. (2023),2023,YES,Social reinforcement learning -- effects of social versus non-social feedback,,,,,,,pending
a064d64d158284c23_s1,a064d64d158284c23,Martins et al. (2022),2022,YES,Prosocial learning,,,,,,,pending
a066703107fbc2fe0_s1,a066703107fbc2fe0,McElreath et al. (2005),2005,YES,Social learning strategy selection -- how individuals regulate reliance on,,,,,,,pending
a089a484bca4fd63e_s1,a089a484bca4fd63e,Zonca et al. (2021),2021,YES,Observational learning in strategic interaction,,,,,,,pending
a092feb2d1b67b42c_s1,a092feb2d1b67b42c,Wu et al. (2025),2025,YES,Cooperation learning,,,,,,,pending
a095f158fe440440f_s1,a095f158fe440440f,Shaw et al. (2018),2018,YES,Cooperation learning / reciprocity learning,,,,,,,pending
a0982d65a745c9665_s1,a0982d65a745c9665,Hula et al. (2015),2015,YES,Trust learning,,,,,,,pending
a098ba4b86e8ffd67_s1,a098ba4b86e8ffd67,Luo et al. (2025),2025,YES,Social advice giving / alignment bias,,,,,,,pending
a0a10385d71888bda_s1,a0a10385d71888bda,Decker et al. (2015),2015,YES,Learning from advice / instructed learning vs. experiential reward learning,,,,,,,pending
a0a3915bf66efa3e5_s1,a0a3915bf66efa3e5,Buritica et al. (2019),2019,YES,Learning from advice,,,,,,,pending
a0af831aedaa9655c_s1,a0af831aedaa9655c,Rosler et al. (2025),2025,YES,Moral stereotype learning,,,,,,,pending
a0af831aedaa9655c_s2,a0af831aedaa9655c,Rosler et al. (2025),2025,YES,Moral stereotype learning,,,,,,,pending
a0b4fbf3f43250a3e_s1,a0b4fbf3f43250a3e,Jangard (2025),2025,YES,Prosocial preferences -- computational modeling of how individuals value,,,,,,,pending
a0b81277f606fe157_s1,a0b81277f606fe157,Fineberg et al. (2018),2018,YES,Social and nonsocial cue valuation and learning under volatility in borderline,,,,,,,pending
a0b98d98d2ba787b1_s1,a0b98d98d2ba787b1,Hula et al. (2021),2021,YES,Trust learning,,,,,,,pending
a0c0a3b5b57e95b71_s1,a0c0a3b5b57e95b71,Driessen et al. (2025),2025,YES,Social learning from advice,,,,,,,pending
a0c30267245895723_s1,a0c30267245895723,Ham et al. (2025),2025,YES,Social transmission of abstractions,,,,,,,pending
a0c8ea17d52248403_s1,a0c8ea17d52248403,Bellucci & Park (2023),2023,YES,Trust learning / impression formation,,,,,,,pending
a0cbdcc9dfd3eb389_s1,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,Opponent model learning and transfer in competitive zero-sum games,,,,,,,pending
a0cbdcc9dfd3eb389_s2,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,Trust learning,,,,,,,pending
a0cbdcc9dfd3eb389_s3,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,Cooperation repair,,,,,,,pending
a0cbdcc9dfd3eb389_s4,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,Descriptive characterization of investor and trustee behavior in repeated Trust,,,,,,,pending
a0cbdcc9dfd3eb389_s5,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,POMDP simulation of optimal trustee policy,,,,,,,pending
a0cdadbb47a85fb46_s1,a0cdadbb47a85fb46,Oktar et al. (2024),2024,YES,Epistemic vigilance of motivation in social learning from testimony,,,,,,,pending
a0cdccddf2144a383_s1,a0cdccddf2144a383,Becker et al. (2019),2019,YES,Social observation effects on reinforcement learning in social anxiety disorder,,,,,,,pending
a0ce362f529aa5f00_s1,a0ce362f529aa5f00,Pärnamets & Olsson (2020),2020,YES,Social cue integration during instrumental avoidance learning,,,,,,,pending
a0d3ac52f7335afbc_s1,a0d3ac52f7335afbc,Reiter et al. (2019),2019,YES,Social influence learning / risk contagion,,,,,,,pending
a0d3faac61561129c_s1,a0d3faac61561129c,Elder et al. (2023),2023,YES,Self-concept updating from social feedback,,,,,,,pending
a0dbe04cafc314aa9_s1,a0dbe04cafc314aa9,Sul et al. (2015),2015,YES,Prosocial learning,,,,,,,pending
a0f14a5ff011d1dc8_s1,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,"Self-regarding reinforcement learning dysfunctions in depression, addiction",,,,,,,pending
a0f14a5ff011d1dc8_s2,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,Other-regarding reinforcement learning in PTSD,,,,,,,pending
a0f14a5ff011d1dc8_s3,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,Effects of oxytocin on self- and other-regarding reinforcement learning in,,,,,,,pending
a0f2e0862f7be225c_s1,a0f2e0862f7be225c,Charpentier et al. (2020),2020,YES,Observational learning; arbitration between choice imitation and goal emulation,,,,,,,pending
a10a4b2c7e36e888a_s1,a10a4b2c7e36e888a,Zhao et al. (2023),2023,YES,Observational learning of delayed gratification,,,,,,,pending
a119de5d9eabacce5_s1,a119de5d9eabacce5,Rhoads et al. (2025),2025,YES,Joint outcome learning / prosocial and antisocial learning,,,,,,,pending
a11b7372abc90e41c_s1,a11b7372abc90e41c,King-Casas et al. (2005),2005,YES,Trust learning / reputation learning,,,,,,,pending
a14d9513d093ee897_s1,a14d9513d093ee897,Molins et al. (2025),2025,YES,Decision-making under late acute stress,,,,,,,pending
a161e0ddcef2f9a88_s1,a161e0ddcef2f9a88,Schmid & Braun (2025),2025,YES,Joint action learning / intergroup sensorimotor coordination / division of,,,,,,,pending
a18b63d00c750fecf_s1,a18b63d00c750fecf,Levorsen et al. (2021),2021,YES,Social conformity,,,,,,,pending
a19d005cbfacf5616_s1,a19d005cbfacf5616,Thomas et al. (2022),2022,YES,Social influence / contagion of value preferences,,,,,,,pending
