study_id,paper_id,citation_short,year,recorded_drop_reason,human_decision,human_rationale,reviewer,date_checked,status
a80c37dd74c4998a4_s1,a80c37dd74c4998a4,Aquino (2022),,"Dissertation; only Study 3 (Chapter IV) qualifies for social learning inclusion criteria. Flag as potential duplicate of Aquino et al. (2020) JNeurosci. The ""social agent"" is a pre-recorded video -- the authors themselves note this does not control for social vs. non-social observation.",,,,,pending
a525b90f489739776_s1,a525b90f489739776,Barnby (2021),,"thesis -- Chapter 4 is the qualifying computational modeling study. Chapters 2 (psychometric), 3 (behavioral, no computational model of learning), and 5 (pharmacological, no computational model of learning) do not independently meet computational modeling inclusion criteria. Note: Chapter 4 was published as Barnby et al. (2020) in PLOS Computational Biology -- flag as potential duplicate if that published paper also appears in the corpus.",,,,,pending
ab55cdf703297acb8_s1,ab55cdf703297acb8,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
aa7a0276ada8cc7db_s2,aa7a0276ada8cc7db,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
ab55cdf703297acb8_s2,ab55cdf703297acb8,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
aa7a0276ada8cc7db_s1,aa7a0276ada8cc7db,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
aa7a0276ada8cc7db_s3,aa7a0276ada8cc7db,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
ab55cdf703297acb8_s3,ab55cdf703297acb8,Cui (2021),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
ab13df8717184ccee_s2,ab13df8717184ccee,Gelpi (2025),,"MEDIUM confidence -- the ""social agent"" is automated (pre-recorded MARL trajectories), which CLAUDE.md says to flag

### CANNOT FIND
- Formal computational model fitted to human behavioral data (none exists; human data analyzed with LMER/GLMER only)
- Model comparison metrics for human data (no formal model comparison)
- Individual-level model fits for human participants

### OTHER NOTES
- This experiment (Chapter 5, Experiment 4) was published as part of: Gelpi, R. A., Tang, Y., Jackson, E. C., & Cunningham, W. A. (2025). Social coordination perpetuates stereotypic expectations and behaviours across generations in deep multi-agent reinforcement learning. PNAS Nexus, 4(3), pgaf076. https://doi.org/10.1093/pnasnexus/pgaf076. If this published paper is also in the papers folder, flag as duplicate_suspected.
- The MARL simulations (Ch5 Exps 1-3) provide the theoretical framework but do not involve human data.
- The ""social agent"" in this task is an automated system (pre-recorded MARL market decider or agent trajectories), which should be flagged per CLAUDE.md.
- No supplement file found for this thesis.",,,,,pending
ab13df8717184ccee_s1,ab13df8717184ccee,Gelpi (2025),,(no eligibility flag recorded — likely duplicate/superseded version; confirm),,,,,pending
a0cbdcc9dfd3eb389_s3,a0cbdcc9dfd3eb389,Guennouni (2022),,FLAG: Social agent is an automated HMM system. Participants were told they faced human opponents but actually faced computer agents. Qualifies with flag.,,,,,pending
a0cbdcc9dfd3eb389_s5,a0cbdcc9dfd3eb389,Guennouni (2022),,"FLAG: No human behavioral data collected. Purely computational simulation — POMDP trustee agents play against HMM investors. Does not meet inclusion criterion of ""uses human behavioral data."" However, the POMDP framework and utility function parameters were calibrated against human data from Chapter 3.",,,,,pending
